C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000000.spe	31.54	6.38	1	0.010267	-0.009931	0.009900	0.077115	28381	1.26	38	226	0	11	1000	671	2020	83923	0	1215	42	221	375	27445	124	172	173	0	46	498	329	7159	146	357	21	32	58	0	62	31	34	192	588	1574	0	94	115	52	246	95	337	23546	7906	0.107	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000001.spe	32.54	6.39	1	0.010267	-0.009931	0.009900	0.077115	36285	1.47	42	363	0	75	1500	583	2761	124649	0	1724	88	286	560	36369	127	166	224	44	38	592	200	8755	146	234	37	36	70	0	60	58	24	149	709	1965	78	187	69	311	212	179	249	27067	8794	0.106	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000002.spe	33.54	6.42	1	0.010267	-0.009931	0.009900	0.077115	39516	1.51	69	339	0	52	1497	561	2549	156841	0	2008	52	297	504	36649	80	127	221	0	86	462	109	9288	112	316	66	41	0	0	42	64	55	255	822	2079	48	106	170	198	299	199	318	26445	9071	0.105	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000003.spe	34.54	6.42	1	0.010267	-0.009931	0.009900	0.077115	40452	1.45	55	305	0	0	1548	548	2372	168173	0	2137	44	292	506	35919	153	206	256	11	33	528	186	9832	151	281	35	90	58	0	60	44	44	196	824	2082	86	222	0	112	258	242	394	26595	9528	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000004.spe	35.54	6.43	1	0.010267	-0.009931	0.009900	0.077115	41073	1.48	65	342	0	56	1679	513	2632	153635	33	1954	47	316	499	37904	84	209	279	0	46	544	348	10202	91	320	69	35	45	0	60	41	25	218	798	2124	57	124	150	99	348	195	269	29446	10111	0.109	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000005.spe	36.54	6.44	1	0.010267	-0.009931	0.009900	0.077115	42805	1.53	72	358	0	35	1995	531	3384	143298	0	2084	28	354	779	46421	161	254	324	57	119	699	408	10274	123	290	52	29	75	0	104	49	0	215	946	2264	51	111	194	0	362	240	427	30965	9919	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000006.spe	37.54	6.46	1	0.010267	-0.009931	0.009900	0.077115	41473	1.48	65	341	0	51	1747	499	3345	136934	0	2025	63	351	736	45287	168	302	254	0	76	673	225	9868	118	455	80	33	102	0	131	56	69	172	923	2272	58	165	215	193	321	240	468	29538	9929	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000007.spe	38.54	6.47	1	0.010267	-0.009931	0.009900	0.077115	41352	1.42	90	391	0	26	1661	529	3335	140289	0	2205	30	346	855	46020	156	182	228	0	60	627	352	9739	132	331	43	45	67	0	151	66	0	169	906	2272	42	216	124	112	295	255	405	29172	9760	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000008.spe	39.54	6.48	1	0.010267	-0.009931	0.009900	0.077115	41656	1.60	62	435	0	55	1690	581	3416	144092	38	2447	74	336	866	47719	84	212	170	12	120	698	361	9586	216	450	24	82	73	0	141	60	20	188	858	2187	133	169	100	193	318	232	492	28597	9854	0.107	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP1\XRF data\L000009.spe	40.54	6.49	1	0.010267	-0.009931	0.009900	0.077115	42264	1.53	93	412	0	40	1685	524	3216	160287	30	2580	71	374	762	46687	168	271	159	113	61	574	360	9409	105	568	74	72	82	0	115	46	56	116	696	2271	47	138	108	0	367	242	454	27543	9563	0.104	
