C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2     24-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000000.spe	29.75	8.02	1	0.010268	-0.008542	0.009800	0.078770	54132	2.64	206	1534	0	99	1477	391	9189	77719	394	9706	615	656	6684	191250	334	472	612	276	234	500	1169	5678	400	1098	46	0	64	0	0	268	0	1305	3382	1345	279	277	0	262	682	3652	35165	11219	0.114	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000001.spe	30.75	8.06	1	0.010260	-0.008542	0.009800	0.078770	45919	2.22	129	1321	0	67	4597	563	7297	40564	109	8815	496	627	4925	162839	367	418	437	220	192	328	1022	4431	195	931	96	0	131	0	165	207	67	1135	2973	2501	107	166	0	0	497	4124	33542	10709	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000002.spe	31.75	8.10	1	0.010263	-0.008542	0.009800	0.078770	49320	2.00	164	1361	5	93	8024	557	7761	39574	52	9250	616	773	4889	180704	407	475	580	260	129	407	1047	4487	190	1060	117	0	56	0	221	123	73	1337	3268	1556	288	51	0	202	644	4355	35155	10926	0.113	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000003.spe	32.75	8.13	1	0.010262	-0.008542	0.009800	0.078770	49120	2.16	191	1350	10	76	1239	756	7724	33404	41	9959	648	764	11021	189066	522	550	467	177	236	456	1028	4069	237	984	0	0	61	0	288	173	69	1315	2931	69	220	321	65	369	650	4779	33842	10239	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000004.spe	33.75	8.12	1	0.010266	-0.008542	0.009800	0.078770	49908	2.05	209	1356	0	59	1217	640	8149	34181	204	9950	636	770	4549	195921	339	458	510	223	169	359	1196	4162	359	1017	24	0	0	0	0	314	31	1375	3179	23	257	360	0	162	685	4398	35099	10617	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000005.spe	34.75	8.10	1	0.010266	-0.008542	0.009816	0.078770	49431	2.04	174	1261	0	99	1307	742	7741	42749	187	9403	525	686	9747	182701	467	536	600	199	283	458	1145	4202	276	1107	5	0	0	0	93	218	0	1399	3049	205	271	304	0	264	657	4228	35238	10800	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000006.spe	35.75	8.10	1	0.010266	-0.008542	0.009592	0.078770	48375	1.97	158	1170	0	61	1251	675	7652	45984	154	9070	509	648	4969	178771	337	495	539	322	200	376	932	4360	218	997	11	0	63	0	0	174	0	1349	3116	132	169	206	204	116	536	4171	34586	10242	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000007.spe	36.75	8.10	1	0.010266	-0.008542	0.009592	0.078770	43732	1.94	143	1134	0	52	1060	686	6554	33660	120	8127	566	609	3840	162344	281	441	439	146	271	339	996	3567	155	935	12	0	34	0	11	136	48	1167	2898	114	105	204	0	169	491	3613	32719	9733	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000008.spe	37.75	8.09	1	0.010266	-0.008542	0.009592	0.078770	46532	1.99	167	1188	0	19	1235	692	7345	36643	99	9072	617	751	3949	177591	290	486	375	221	170	401	1001	3915	332	834	5	0	55	0	167	127	22	1202	2936	135	127	283	50	348	602	4029	32839	9713	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000009.spe	38.75	8.08	1	0.010266	-0.008542	0.009592	0.078770	46029	2.05	157	1174	19	44	1064	724	6933	33167	19	9242	570	581	5908	176275	234	402	432	168	202	364	917	3635	206	1068	0	0	4	0	34	213	8	1207	2944	87	169	330	72	210	590	3856	31598	9659	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000010.spe	39.75	8.06	1	0.010263	-0.008542	0.009592	0.078770	44155	1.98	112	1097	0	58	1061	668	6787	41183	110	8052	438	595	3636	159808	257	402	461	220	217	334	1047	3867	186	1008	0	0	110	0	0	255	33	1217	2755	93	256	236	21	146	591	4181	32804	9545	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000011.spe	40.75	8.06	1	0.010265	-0.008542	0.009592	0.078770	44051	2.12	137	1021	0	47	1212	725	6585	46860	169	7821	507	610	3208	157225	328	456	419	138	187	298	868	3714	300	958	17	0	45	0	135	192	0	1147	2950	163	326	141	191	11	438	4068	32128	9552	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000012.spe	41.75	8.06	1	0.010267	-0.008542	0.009592	0.078770	43917	1.94	141	1043	0	78	1238	683	6821	50274	182	7859	460	538	3552	152311	281	391	401	205	157	347	939	4574	209	895	5	0	14	0	51	170	0	1129	2855	162	253	161	0	139	550	3568	31878	9961	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP2\XRF data\L000013.spe	42.75	8.05	1	0.010267	-0.008542	0.009592	0.078770	43713	2.07	123	1044	0	74	1311	594	6642	67437	395	6878	375	492	2748	138150	233	328	367	234	141	521	898	5668	205	729	43	0	18	0	9	159	0	1170	3037	41	266	239	0	25	467	3214	32024	10143	0.109	
