C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2     17-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000000.spe	24.22	6.99	1	0.010268	-0.008542	0.009800	0.078770	33451	2.04	107	831	0	66	965	591	6066	54421	258	6320	253	306	2395	85718	161	71	407	155	162	300	614	5999	150	1834	40	0	59	0	0	198	0	909	2552	0	193	257	138	77	260	1779	28142	9073	0.107	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000001.spe	25.22	6.99	1	0.010269	-0.008542	0.009800	0.078770	33136	2.21	113	903	0	19	874	606	6618	49072	234	6842	305	248	2411	88218	51	75	504	345	213	370	612	5756	228	2317	38	0	66	0	0	172	0	905	2515	15	131	95	135	0	293	1931	26219	8829	0.105	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000002.spe	26.22	7.00	1	0.010263	-0.008542	0.009800	0.078770	34177	1.78	126	1022	0	30	986	687	7818	45975	0	7287	382	313	2770	93398	106	79	442	265	186	275	821	4826	218	2714	0	0	119	0	0	160	10	880	2725	54	160	85	0	0	228	2394	26987	8958	0.106	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000003.spe	27.22	6.99	1	0.010262	-0.008542	0.009800	0.078770	38158	1.74	110	1170	0	38	794	563	8540	38654	36	9347	399	372	2748	112645	101	85	537	220	265	317	871	5577	271	3130	16	0	44	0	88	141	24	1115	2952	0	164	81	78	0	300	2878	30550	9794	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000004.spe	28.22	6.98	1	0.010261	-0.008542	0.009800	0.078770	40486	2.01	158	1254	0	32	753	480	9005	40763	47	10416	492	442	3361	123647	86	82	598	301	210	337	919	5739	201	3368	12	0	22	0	101	91	46	1152	3179	99	308	0	161	0	360	3318	31423	10169	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000005.spe	29.22	6.98	1	0.010261	-0.008542	0.009800	0.078770	42219	2.06	171	1415	0	45	833	538	10125	40069	51	11462	362	381	3638	137178	47	127	592	328	185	434	878	5774	289	3479	0	0	86	0	0	263	0	1074	3278	0	301	141	0	0	342	3546	31056	10173	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000006.spe	30.22	6.98	1	0.010261	-0.008542	0.009800	0.078770	42977	2.06	166	1297	0	56	818	600	9564	40052	44	12897	456	510	3747	147148	89	123	650	345	187	324	892	5660	268	3231	0	0	18	0	143	172	29	1045	3053	173	250	50	0	0	457	4007	30373	10132	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000007.spe	31.22	6.98	1	0.010261	-0.008542	0.009800	0.078770	44739	2.12	167	1369	29	53	833	539	9243	38535	48	14798	625	461	3556	162547	159	122	635	266	305	341	810	5764	209	3228	20	0	26	0	114	179	9	1156	3113	33	207	305	109	0	445	4413	29733	10077	0.107	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000008.spe	32.22	6.98	1	0.010261	-0.008542	0.009800	0.078770	45095	2.24	184	1349	0	53	854	569	9230	37784	27	15169	586	498	3720	161732	121	160	584	321	264	367	795	6019	253	3344	0	0	63	0	148	222	16	1087	3220	81	251	245	278	191	441	3845	30825	10365	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000009.spe	33.22	6.97	1	0.010267	-0.008542	0.009800	0.078770	43201	1.96	176	1390	28	70	868	516	9667	38129	88	13127	647	400	3194	142411	74	139	588	272	242	378	932	6034	371	3366	0	0	0	0	0	251	0	1164	3281	0	246	113	143	134	423	2646	31973	10565	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000010.spe	34.22	6.96	1	0.010267	-0.008542	0.009811	0.078770	41340	1.95	188	1422	7	16	804	503	10023	38203	113	10373	470	306	3218	124163	111	44	606	350	224	351	1010	6053	216	3559	19	0	0	0	0	272	0	1130	3229	85	328	75	72	0	340	2863	32382	10576	0.114	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000011.spe	35.22	6.96	1	0.010265	-0.008542	0.009811	0.078770	40909	1.90	196	1423	0	62	910	563	10467	38779	56	9950	429	357	3243	117857	120	0	536	289	230	369	1090	5912	294	3755	0	0	24	0	0	194	14	1248	3342	102	278	115	0	18	361	2628	32966	10396	0.115	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000012.spe	36.22	6.96	1	0.010265	-0.008542	0.009836	0.078770	40624	1.91	140	1489	0	86	907	578	10285	40238	210	9338	399	387	2953	115321	94	0	523	323	337	356	1118	6021	221	3595	0	0	0	0	11	175	34	1302	3261	0	199	154	0	0	351	2866	32495	10741	0.115	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000013.spe	37.22	6.96	1	0.010263	-0.008542	0.009836	0.078770	40996	1.88	189	1345	0	26	874	489	10179	43548	0	9384	364	339	3075	115162	89	58	604	443	254	422	992	5914	326	3720	30	11	40	0	38	184	0	1144	3362	73	236	61	151	0	288	2998	33954	10647	0.115	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000014.spe	38.22	6.96	1	0.010262	-0.008542	0.009836	0.078770	40769	1.81	167	1350	0	49	903	520	10066	48304	102	8707	357	391	2886	109088	68	145	599	359	211	475	1037	5778	285	3753	32	17	65	0	0	227	0	1166	3308	93	290	179	34	0	269	2816	34149	10778	0.116	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000015.spe	39.22	6.95	1	0.010266	-0.008542	0.009836	0.078770	40551	1.74	154	1324	0	70	902	519	10170	54968	240	8158	328	378	3021	103807	93	70	583	269	204	470	1037	5620	290	3342	17	0	0	0	0	198	0	1242	3343	48	281	266	48	0	331	2358	34621	10504	0.116	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000016.spe	40.22	6.95	1	0.010264	-0.008542	0.009836	0.078770	40540	1.72	212	1360	0	58	958	557	10235	56257	227	8032	289	417	3059	101031	49	31	498	287	278	415	941	5562	289	3317	7	0	9	0	0	206	10	1269	3359	37	340	144	187	0	326	2628	34975	10813	0.117	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000017.spe	41.22	6.95	1	0.010265	-0.008542	0.009836	0.078770	40503	1.87	164	1268	0	97	1027	579	9977	57980	251	8194	387	291	3233	99973	108	60	501	262	299	374	1001	5502	191	3108	41	40	40	0	0	232	0	1149	3222	0	275	313	0	0	324	2376	35155	10483	0.117	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000018.spe	42.22	6.95	1	0.010262	-0.008542	0.009836	0.078770	40990	1.81	166	1172	0	73	1066	567	9512	60006	223	7780	248	416	3075	103587	87	142	528	243	250	478	1065	5611	421	2849	16	4	47	0	0	208	0	1158	3252	113	267	204	0	0	342	2701	35540	11103	0.116	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000019.spe	43.22	6.95	1	0.010264	-0.008542	0.009836	0.078770	40931	1.90	116	1236	0	71	1013	525	9301	60003	188	7943	229	388	3222	106108	111	30	545	312	266	489	978	5570	240	3030	13	0	68	0	54	117	16	1182	3355	87	234	295	0	0	229	2459	34426	10681	0.114	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2\XRF data\L000020.spe	44.22	6.94	1	0.010266	-0.008542	0.009836	0.078770	39974	1.81	186	1307	0	41	888	571	9576	53697	88	8548	365	391	3283	105395	90	115	560	255	344	342	956	5700	201	3344	12	0	15	0	0	195	0	1143	3232	0	222	321	90	0	292	2434	32723	10685	0.114	
