x Distance [mm]	Height [cm]
 -1.730 	 3.604 
 -1.540 	 3.633 
 -1.355 	 3.661 
 -1.165 	 3.722 
 -0.975 	 3.744 
 -0.790 	 3.759 
 -0.600 	 1.188 
 -0.415 	 1.540 
 -0.225 	 1.756 
 -0.035 	 1.830 
 0.150 	 1.822 
 0.340 	 1.826 
 0.525 	 1.803 
 0.715 	 1.782 
 0.905 	 1.761 
 1.090 	 1.733 
 1.280 	 1.743 
 1.465 	 1.761 
 1.655 	 1.789 
 1.845 	 1.818 
 2.030 	 1.844 
 2.220 	 1.859 
 2.405 	 1.841 
 2.595 	 1.841 
 2.785 	 1.830 
 2.970 	 1.860 
 3.160 	 1.856 
 3.345 	 1.877 
 3.535 	 1.929 
 3.725 	 1.983 
 3.910 	 1.773 
 4.100 	 1.650 
 4.285 	 1.650 
 4.475 	 1.620 
 4.665 	 1.612 
 4.850 	 1.576 
 5.040 	 1.548 
 5.225 	 1.509 
 5.415 	 1.621 
 5.605 	 1.845 
 5.790 	 2.094 
 5.980 	 2.025 
 6.165 	 1.746 
 6.355 	 1.106 
 6.545 	 1.058 
 6.730 	 1.009 
 6.920 	 1.000 
 7.105 	 1.026 
 7.295 	 1.061 
 7.485 	 1.086 
 7.670 	 1.148 
 7.860 	 1.182 
 8.045 	 1.389 
 8.235 	 1.654 
 8.425 	 1.918 
 8.610 	 2.408 
 8.800 	 5.882 
 8.985 	 5.914 
 9.175 	 5.937 
 9.365 	 5.177 
 9.550 	 2.377 
 9.740 	 2.362 
 9.925 	 8.059 
 10.115 	 3.539 
 10.305 	 3.268 
 10.490 	 3.360 
 10.680 	 3.583 
 10.865 	 3.998 
 11.055 	 9.266 
 11.245 	 3.977 
 11.430 	 9.591 
 11.620 	 9.615 
 11.805 	 9.620 
 11.995 	 5.426 
 12.185 	 5.367 
 12.370 	 8.344 
 12.560 	 9.553 
 12.745 	 9.624 
 12.935 	 9.624 
 13.125 	 9.624 
 13.310 	 9.619 
 13.500 	 9.619 
 13.685 	 9.623 
 13.875 	 9.619 
 14.065 	 9.619 
 14.250 	 9.624 
 14.440 	 9.619 
 14.625 	 9.561 
 14.815 	 5.382 
 15.005 	 5.400 
 15.190 	 5.519 
 15.380 	 5.672 
 15.565 	 9.619 
 15.755 	 9.619 
 15.945 	 9.620 
 16.130 	 9.624 
 16.320 	 9.624 
 16.505 	 9.619 
 16.695 	 9.619 
 16.885 	 9.620 
 17.070 	 9.624 
 17.260 	 9.624 
 17.445 	 9.619 
 17.635 	 9.620 
 17.825 	 9.624 
 18.010 	 9.619 
 18.200 	 9.620 
 18.385 	 9.624 
 18.575 	 9.619 
 18.765 	 9.620 
 18.950 	 9.624 
 19.140 	 9.619 
 19.325 	 9.619 
 19.515 	 9.619 
 19.705 	 9.620 
 19.890 	 9.336 
 20.080 	 6.957 
 20.265 	 7.007 
 20.455 	 7.044 
 20.645 	 7.031 
 20.830 	 6.992 
 21.020 	 6.901 
 21.205 	 6.869 
 21.395 	 6.788 
 21.585 	 6.790 
 21.770 	 6.748 
 21.960 	 6.755 
 22.145 	 6.792 
 22.335 	 6.838 
 22.525 	 6.869 
 22.710 	 6.901 
 22.900 	 6.938 
 23.085 	 6.966 
 23.275 	 6.980 
 23.465 	 7.002 
 23.650 	 7.002 
 23.840 	 7.000 
 24.025 	 6.988 
 24.215 	 6.987 
 24.405 	 6.987 
 24.590 	 6.982 
 24.780 	 6.983 
 24.965 	 6.987 
 25.155 	 6.987 
 25.345 	 6.992 
 25.530 	 6.993 
 25.720 	 6.997 
 25.905 	 6.997 
 26.095 	 6.996 
 26.285 	 6.992 
 26.470 	 6.992 
 26.660 	 6.993 
 26.845 	 6.997 
 27.035 	 6.993 
 27.225 	 6.995 
 27.410 	 6.988 
 27.600 	 6.991 
 27.785 	 6.983 
 27.975 	 6.986 
 28.165 	 6.981 
 28.350 	 6.978 
 28.540 	 6.978 
 28.725 	 6.979 
 28.915 	 6.981 
 29.105 	 6.978 
 29.290 	 6.978 
 29.480 	 6.978 
 29.665 	 6.978 
 29.855 	 6.979 
 30.045 	 6.981 
 30.230 	 6.978 
 30.420 	 6.978 
 30.605 	 6.978 
 30.795 	 6.979 
 30.985 	 6.982 
 31.170 	 6.981 
 31.360 	 6.978 
 31.545 	 6.978 
 31.735 	 6.978 
 31.925 	 6.979 
 32.110 	 6.981 
 32.300 	 6.978 
 32.485 	 6.976 
 32.675 	 6.973 
 32.865 	 6.973 
 33.050 	 6.973 
 33.240 	 6.970 
 33.425 	 6.963 
 33.615 	 6.963 
 33.805 	 6.964 
 33.990 	 6.967 
 34.180 	 6.963 
 34.365 	 6.965 
 34.555 	 6.966 
 34.745 	 6.958 
 34.930 	 6.964 
 35.120 	 6.966 
 35.305 	 6.959 
 35.495 	 6.967 
 35.685 	 6.963 
 35.870 	 6.963 
 36.060 	 6.963 
 36.245 	 6.963 
 36.435 	 6.963 
 36.625 	 6.965 
 36.810 	 6.969 
 37.000 	 6.958 
 37.185 	 6.967 
 37.375 	 6.961 
 37.565 	 6.954 
 37.750 	 6.963 
 37.940 	 6.963 
 38.125 	 6.962 
 38.315 	 6.956 
 38.505 	 6.948 
 38.690 	 6.953 
 38.880 	 6.951 
 39.065 	 6.949 
 39.255 	 6.951 
 39.445 	 6.953 
 39.630 	 6.949 
 39.820 	 6.952 
 40.005 	 6.948 
 40.195 	 6.952 
 40.385 	 6.950 
 40.570 	 6.951 
 40.760 	 6.946 
 40.945 	 6.947 
 41.135 	 6.948 
 41.325 	 6.948 
 41.510 	 6.948 
 41.700 	 6.949 
 41.885 	 6.952 
 42.075 	 6.948 
 42.265 	 6.948 
 42.450 	 6.952 
 42.640 	 6.947 
 42.825 	 6.943 
 43.015 	 6.945 
 43.205 	 6.945 
 43.390 	 6.934 
 43.580 	 6.940 
 43.765 	 6.948 
 43.955 	 6.943 
 44.145 	 6.943 
 44.330 	 6.944 
 44.520 	 6.947 
 44.705 	 6.943 
 44.895 	 6.943 
 45.085 	 6.944 
 45.270 	 6.948 
 45.460 	 6.948 
 45.645 	 6.947 
 45.835 	 6.943 
 46.025 	 6.943 
 46.210 	 6.942 
 46.400 	 6.936 
 46.585 	 6.929 
 46.775 	 6.930 
 46.965 	 6.932 
 47.150 	 6.929 
 47.340 	 6.929 
 47.525 	 6.931 
 47.715 	 6.934 
 47.905 	 6.930 
 48.090 	 6.925 
 48.280 	 6.929 
 48.465 	 6.927 
 48.655 	 6.925 
 48.845 	 6.929 
 49.030 	 6.928 
 49.220 	 6.926 
 49.405 	 6.933 
 49.595 	 6.929 
 49.785 	 6.928 
 49.970 	 6.925 
 50.160 	 6.929 
 50.345 	 6.929 
 50.535 	 6.928 
 50.725 	 6.924 
 50.910 	 6.924 
 51.100 	 6.920 
 51.285 	 6.911 
 51.475 	 6.919 
 51.665 	 6.918 
 51.850 	 6.915 
 52.040 	 6.920 
 52.225 	 6.922 
 52.415 	 6.914 
 52.605 	 6.915 
 52.790 	 6.919 
 52.980 	 6.919 
 53.165 	 6.919 
 53.355 	 6.918 
 53.545 	 6.917 
 53.730 	 6.923 
 53.920 	 6.918 
 54.105 	 6.916 
 54.295 	 6.917 
 54.485 	 6.913 
 54.670 	 6.911 
 54.860 	 6.914 
 55.045 	 6.915 
 55.235 	 6.917 
 55.425 	 6.914 
 55.610 	 6.915 
 55.800 	 6.919 
 55.985 	 6.919 
 56.175 	 6.919 
 56.365 	 6.914 
 56.550 	 6.911 
 56.740 	 6.911 
