C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000000.spe	29.75	8.02	1	0.010267	-0.009931	0.009900	0.077115	61103	1.79	148	1537	0	0	1417	414	9200	75626	0	9399	299	863	6673	185637	432	404	545	98	78	472	1197	5688	155	930	0	0	0	0	319	96	140	132	1040	2540	1038	272	365	328	1381	793	804	34463	11317	0.115	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000001.spe	30.75	8.06	1	0.010267	-0.009931	0.009900	0.077115	51844	1.68	137	1305	0	38	4368	568	7218	39667	21	8485	392	874	5120	159792	348	520	432	199	48	480	1021	4570	136	708	0	0	32	0	441	168	208	140	867	2448	2078	237	0	306	1110	646	1023	32037	10340	0.111	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000002.spe	31.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	55485	1.77	141	1254	0	46	8183	737	7653	38111	0	9254	434	875	4967	174394	309	557	495	166	0	524	1172	4754	161	734	0	0	0	0	342	129	217	251	1011	2375	1442	299	213	149	1308	625	1092	33862	10449	0.114	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000003.spe	32.75	8.13	1	0.010267	-0.009931	0.009900	0.077115	55514	1.79	140	1255	0	8	1118	704	7980	32369	0	9807	307	1012	11421	184106	513	709	541	164	0	498	1146	4193	249	947	0	0	0	0	410	138	205	113	988	2345	212	187	353	0	1185	731	1518	32501	10506	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000004.spe	33.75	8.12	1	0.010267	-0.009931	0.009900	0.077115	56271	1.86	164	1316	0	0	1158	684	8000	33779	0	9861	381	990	4639	189489	364	636	438	211	102	424	1072	4133	168	973	0	0	0	0	444	179	215	194	924	2527	186	227	450	478	1460	707	1298	33502	10419	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000005.spe	34.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	55810	1.71	149	1276	0	0	1207	732	7838	41518	0	9211	345	934	10143	177445	438	614	556	234	0	532	1054	4546	163	913	0	0	0	0	460	114	257	123	989	2481	100	172	462	259	1278	679	1351	33534	10595	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000006.spe	35.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	54466	1.67	132	1217	0	10	1257	641	7663	44988	0	8674	368	980	5168	173359	452	636	444	120	10	498	1042	4327	197	812	22	0	40	0	471	167	237	137	981	2371	215	282	439	413	1205	716	1367	33518	10416	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000007.spe	36.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	49199	1.59	152	1011	0	0	1034	763	6608	33190	0	7871	292	799	3815	158261	312	593	440	128	64	437	943	3720	168	942	0	0	72	0	406	178	197	274	991	2117	169	272	300	115	1128	675	1007	31350	9483	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000008.spe	37.75	8.09	1	0.010267	-0.009931	0.009900	0.077115	52253	1.74	145	1121	0	18	1149	691	7205	35935	0	8956	382	863	4007	172574	337	646	408	183	140	491	871	3920	225	914	0	0	47	0	389	190	141	208	887	2332	147	244	446	266	1287	699	996	31750	9951	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000009.spe	38.75	8.08	1	0.010267	-0.009931	0.009900	0.077115	51822	1.70	146	1073	0	22	1155	708	7064	32506	0	9189	394	927	6177	171923	400	647	483	187	78	483	1230	3728	163	708	0	0	34	0	346	197	211	84	951	2283	126	189	326	18	1344	637	1028	31832	9786	0.108	
