C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1     23-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000000.spe	29.75	8.02	1	0.010268	-0.008542	0.009800	0.078770	54104	2.65	168	1599	0	35	1476	399	9124	77521	436	9656	581	645	6600	190997	374	276	569	165	254	403	1135	5595	215	1031	0	0	0	0	0	213	0	1306	3275	1186	258	359	278	339	732	3382	35757	11383	0.115	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000001.spe	30.75	8.06	1	0.010260	-0.008542	0.009800	0.078770	46110	2.19	156	1357	0	91	4422	525	7251	40617	119	8449	596	702	4956	164173	335	475	477	278	207	396	1050	4451	198	855	64	0	87	0	419	37	93	1106	3185	2503	181	0	55	0	545	4535	33506	10491	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000002.spe	31.75	8.10	1	0.010264	-0.008542	0.009800	0.078770	49186	2.05	160	1309	8	97	8281	667	7667	39068	100	9510	661	655	4857	179553	338	476	539	255	135	443	1167	4645	224	890	45	0	11	0	19	230	0	1253	3185	1681	273	202	0	169	534	4300	35156	10571	0.114	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000003.spe	32.75	8.13	1	0.010265	-0.008542	0.009800	0.078770	49315	1.95	153	1307	0	55	1158	689	7970	33159	80	10092	566	779	11297	190019	452	600	553	244	150	427	1134	4111	287	1086	0	0	13	0	50	243	0	1254	3033	203	169	254	0	60	666	4658	33700	10625	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000004.spe	33.75	8.12	1	0.010265	-0.008542	0.009800	0.078770	49963	2.03	181	1372	0	48	1202	670	7977	34664	54	10107	644	751	4535	195201	339	534	464	295	259	348	1049	4050	209	1115	0	0	0	0	102	200	16	1162	3303	179	210	341	357	285	605	4478	34861	10539	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000005.spe	34.75	8.10	1	0.010264	-0.008542	0.009784	0.078770	49539	1.96	167	1325	0	38	1242	716	7826	42542	96	9369	586	713	9987	182972	379	511	560	324	149	453	1056	4459	196	1061	0	0	10	0	217	159	0	1215	3175	75	133	346	97	108	593	4637	34892	10722	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000006.spe	35.75	8.10	1	0.010264	-0.008542	0.009743	0.078770	48378	1.98	147	1268	24	63	1298	629	7640	46085	143	8878	573	739	5048	178446	397	530	468	212	165	417	1035	4232	229	975	49	0	73	0	166	191	18	1248	3096	194	256	338	256	108	612	4413	34754	10518	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000007.spe	36.75	8.10	1	0.010264	-0.008542	0.009743	0.078770	43797	2.03	167	1057	0	40	1073	749	6609	33962	43	8028	486	587	3712	162716	340	505	468	221	176	363	937	3637	203	1079	6	0	103	0	165	156	46	1187	2844	137	253	214	0	80	577	3875	32566	9582	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000008.spe	37.75	8.09	1	0.010265	-0.008542	0.009743	0.078770	46527	1.98	162	1169	0	66	1192	680	7201	36849	130	9126	629	662	3920	177648	337	570	436	270	271	427	855	3840	255	1037	14	0	85	0	136	149	64	1078	3129	147	271	344	152	220	615	3958	32929	10042	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000009.spe	38.75	8.08	1	0.010266	-0.008542	0.009743	0.078770	46205	2.14	161	1128	0	65	1193	696	7037	33316	0	9380	647	711	6071	176979	322	546	489	269	231	414	1207	3642	197	833	21	0	40	0	60	128	72	1177	2932	116	161	219	0	294	553	3827	32941	9864	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000010.spe	39.75	8.06	1	0.010263	-0.008542	0.009682	0.078770	44157	1.98	136	1064	0	56	1194	664	6661	40805	79	7931	527	553	3574	159881	320	499	421	383	172	423	1000	3730	249	1013	0	0	57	0	132	123	25	1144	2950	162	178	229	98	0	544	4319	33081	10047	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000011.spe	40.75	8.06	1	0.010263	-0.008542	0.009533	0.078770	44074	1.95	124	998	0	88	1211	637	6644	46966	102	7870	449	591	3245	156889	274	384	378	231	242	314	900	3794	348	998	18	0	56	0	122	183	39	1215	2867	122	138	262	220	176	651	3845	32030	9586	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000012.spe	41.75	8.06	1	0.010265	-0.008542	0.009533	0.078770	43848	2.00	120	1006	0	69	1254	637	6726	49417	276	7703	485	654	3534	152532	217	375	395	280	169	327	857	4573	120	769	45	0	124	0	58	181	10	1119	2974	140	130	194	0	104	519	3890	32117	9704	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000013.spe	42.75	8.05	1	0.010266	-0.008542	0.009533	0.078770	43705	1.91	134	1016	0	101	1327	626	6824	67279	345	6799	414	515	2752	138238	275	409	386	201	212	434	747	5683	305	953	21	0	38	0	91	128	0	1204	3033	60	121	89	178	121	417	3219	31725	10092	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000014.spe	43.75	8.06	1	0.010266	-0.008542	0.009554	0.078770	43309	1.92	129	1023	0	71	1340	623	6641	66907	237	6754	494	491	3175	137221	241	330	361	261	223	401	760	5446	227	704	34	4	128	0	69	86	21	1172	3079	29	157	191	0	56	530	3360	31587	9735	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3_REP1\XRF data\L000015.spe	44.75	8.06	1	0.010267	-0.008542	0.009554	0.078770	43989	2.21	128	966	0	105	1379	597	6593	72316	345	6402	358	457	11383	133529	344	283	417	109	268	352	937	5366	144	781	45	0	78	0	97	176	0	1242	2845	25	250	199	0	229	468	2630	30903	9630	0.107	
