C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2     22-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000000.spe	31.54	6.38	1	0.010268	-0.008542	0.009800	0.078770	25398	1.81	36	277	0	112	1158	577	2046	86834	398	1236	79	186	353	27855	164	110	211	129	134	441	227	7190	164	350	61	42	62	0	0	60	0	715	2077	57	139	121	37	0	111	678	24881	7638	0.107	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000001.spe	32.54	6.39	1	0.010269	-0.008542	0.009800	0.078770	32498	2.22	91	345	0	83	1513	581	2569	127194	918	1797	142	216	501	37448	140	144	256	95	173	557	230	8517	30	310	68	58	103	0	0	124	0	1001	2491	0	88	67	196	92	87	818	27118	8738	0.106	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000002.spe	33.54	6.42	1	0.010270	-0.008542	0.009800	0.078770	35421	2.42	72	407	0	129	1648	530	2616	160136	891	1887	172	226	568	37517	176	136	183	29	107	575	124	9009	132	454	132	85	84	0	0	42	0	841	2686	0	146	38	134	0	163	944	26846	9412	0.104	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000003.spe	34.54	6.42	1	0.010271	-0.008542	0.009800	0.078770	36225	2.73	97	348	0	126	1611	635	2330	170734	858	2165	61	160	404	36718	198	150	244	74	147	503	136	9613	104	450	76	85	95	0	0	91	0	797	2807	0	193	86	60	0	179	949	27187	9599	0.105	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000004.spe	35.54	6.43	1	0.010266	-0.008542	0.009800	0.078770	36631	2.15	114	333	0	123	1740	561	2586	156632	691	2002	168	278	543	39068	185	178	300	110	57	608	196	10084	109	472	98	117	93	0	0	68	0	846	2855	15	88	0	34	6	174	1046	30428	10355	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000005.spe	36.54	6.44	1	0.010262	-0.008542	0.009800	0.078770	38137	2.02	68	394	0	132	2102	478	3549	147146	675	2010	181	307	675	47622	225	202	252	111	176	643	267	10011	186	602	93	86	115	0	14	63	0	1016	3021	26	96	178	230	0	119	1451	31894	10042	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000006.spe	37.54	6.46	1	0.010264	-0.008542	0.009800	0.078770	36873	2.02	40	426	0	160	1815	496	3345	139843	502	2038	29	282	718	46466	190	102	308	126	228	631	328	9724	54	582	115	52	125	0	0	49	0	1137	2973	94	192	0	180	0	124	1261	30888	9880	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000007.spe	38.54	6.47	1	0.010263	-0.008542	0.009800	0.078770	36945	2.12	88	433	0	128	1797	581	3524	144003	482	2237	149	244	795	47137	259	234	251	228	228	582	300	9716	134	517	63	69	170	0	50	37	0	1025	2859	17	208	66	0	27	165	1437	30134	9839	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000008.spe	39.54	6.48	1	0.010265	-0.008542	0.009771	0.078770	37215	2.00	79	486	0	114	1790	522	3411	148064	673	2569	113	294	800	49092	125	112	248	119	225	553	221	9467	169	611	112	80	96	0	13	86	0	1038	2834	39	210	0	192	0	222	1370	28881	9804	0.106	
C:\Data\CD166_19_(2020)\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000009.spe	40.54	6.49	1	0.010264	-0.008542	0.009722	0.078770	37862	2.03	79	497	0	149	1766	604	3209	164402	575	2652	148	298	746	48132	164	172	267	116	196	508	258	9196	131	708	99	119	156	0	37	45	9	1063	2945	18	258	155	0	30	194	1316	28284	9970	0.104	
