C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000000.spe	31.54	6.38	1	0.010267	-0.009931	0.009900	0.077115	28455	1.31	23	244	0	46	1102	574	2046	84928	0	1194	57	250	379	27240	166	155	177	58	11	479	244	7264	176	230	19	19	48	0	44	32	17	90	581	1604	68	140	192	103	227	151	212	24088	7584	0.107	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000001.spe	32.54	6.39	1	0.010267	-0.009931	0.009900	0.077115	36353	1.40	73	308	0	7	1447	579	2573	124571	84	1705	99	296	518	36631	86	225	227	30	40	600	253	8623	56	196	22	34	69	0	22	31	0	209	801	1887	10	95	148	269	383	130	230	26345	8685	0.106	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000002.spe	33.54	6.42	1	0.010267	-0.009931	0.009900	0.077115	39533	1.50	54	371	0	46	1582	524	2630	156815	0	1912	100	290	590	36719	140	195	168	0	0	607	153	9092	155	352	83	57	75	0	37	39	10	182	716	2042	8	145	119	189	253	198	373	26033	9378	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000003.spe	34.54	6.42	1	0.010267	-0.009931	0.009900	0.077115	40475	1.62	77	312	0	34	1542	633	2338	167268	0	2141	0	245	427	35965	130	221	217	22	17	542	156	9733	130	343	28	54	92	0	18	28	32	250	680	2114	22	184	163	130	285	219	415	26450	9600	0.105	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000004.spe	35.54	6.43	1	0.010267	-0.009931	0.009900	0.077115	41069	1.52	96	298	0	37	1676	560	2575	153092	0	1992	108	345	566	38130	140	231	278	35	0	653	208	10173	135	299	48	86	61	0	94	34	7	198	710	2171	42	119	37	132	320	220	325	29496	10255	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000005.spe	36.54	6.44	1	0.010267	-0.009931	0.009900	0.077115	42872	1.47	45	347	0	40	2022	482	3527	143606	123	1992	144	400	725	46505	179	242	205	0	25	696	268	10096	193	377	33	58	41	0	113	83	18	206	828	2282	48	99	287	363	380	194	391	30708	9888	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000006.spe	37.54	6.46	1	0.010267	-0.009931	0.009900	0.077115	41422	1.50	22	380	0	61	1730	493	3321	136455	0	2036	0	364	760	45347	148	148	265	7	75	689	333	9827	64	369	52	18	53	0	65	22	0	201	948	2273	121	197	45	309	394	191	275	29792	9737	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000007.spe	38.54	6.47	1	0.010267	-0.009931	0.009900	0.077115	41411	1.52	67	388	0	37	1723	583	3508	140498	0	2257	102	332	849	46022	215	288	216	127	84	635	302	9805	142	326	10	43	88	0	122	56	35	208	837	2181	54	199	157	122	454	236	389	28916	9691	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000008.spe	39.54	6.48	1	0.010267	-0.009931	0.009900	0.077115	41645	1.51	62	449	0	31	1728	523	3404	144514	0	2538	45	388	835	47895	105	170	233	31	75	598	232	9555	183	445	61	55	47	0	142	44	22	160	866	2189	57	195	78	292	400	279	424	27797	9699	0.106	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000009.spe	40.54	6.49	1	0.010267	-0.009931	0.009900	0.077115	42268	1.53	59	455	0	58	1694	604	3192	160424	0	2671	75	386	786	46958	65	225	226	15	69	557	270	9295	142	540	48	89	95	0	120	79	14	308	902	2177	46	237	243	0	426	255	356	27183	9884	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000010.spe	41.54	6.50	1	0.010267	-0.009931	0.009900	0.077115	42516	1.58	50	402	0	46	1640	539	2772	171863	0	2451	62	332	715	42592	101	164	216	0	98	607	320	9963	238	320	27	106	42	0	49	48	41	292	788	2077	0	204	113	7	357	221	326	27634	9539	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000011.spe	42.54	6.51	1	0.010267	-0.009931	0.009900	0.077115	41773	1.45	81	342	0	8	1469	522	2732	164200	0	2543	0	322	670	42830	118	208	227	0	111	544	285	9778	116	510	58	73	80	0	54	30	36	256	699	2136	71	206	268	153	318	277	505	27168	9621	0.105	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000012.spe	43.54	6.53	1	0.010267	-0.009931	0.009900	0.077115	41931	1.57	77	553	0	20	1410	567	3185	160387	0	3032	34	341	801	47464	103	207	198	59	112	441	294	9601	123	532	57	79	76	0	96	78	11	198	741	2104	78	143	181	12	383	220	300	26546	9776	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000013.spe	44.54	6.54	1	0.010267	-0.009931	0.009900	0.077115	40457	1.51	26	483	0	35	1409	582	3319	144448	0	2663	35	338	809	47547	150	237	256	0	163	553	319	9417	234	609	31	27	54	0	146	19	32	195	801	2209	92	208	61	0	350	229	315	26327	9380	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000014.spe	45.54	6.55	1	0.010267	-0.009931	0.009900	0.077115	39004	1.51	72	481	0	62	1390	518	3040	143082	0	2533	87	372	696	42905	152	246	188	10	148	498	359	9260	211	419	60	73	55	0	87	26	43	195	728	1972	11	151	102	52	398	231	280	25657	9048	0.103	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000015.spe	46.54	6.57	1	0.010267	-0.009931	0.009900	0.077115	38636	1.54	58	395	0	0	1330	572	2343	162378	0	2245	61	312	520	37881	117	181	130	20	145	383	214	9397	135	172	53	53	44	0	34	23	19	140	613	2040	136	147	153	70	324	128	269	23776	9078	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000016.spe	47.54	6.59	1	0.010267	-0.009931	0.009900	0.077115	41701	1.72	65	412	0	20	1472	549	2378	192975	0	2368	78	257	439	36966	98	128	152	0	32	464	264	10251	0	111	62	90	121	0	19	40	17	328	822	1955	55	204	195	0	288	219	284	24257	9057	0.099	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000017.spe	48.54	6.61	1	0.010267	-0.009931	0.009900	0.077115	42528	1.63	65	315	0	23	1480	585	2116	205513	0	2187	44	286	459	35025	27	144	126	14	107	516	188	10316	111	197	48	94	25	0	0	22	0	330	684	1949	38	171	144	165	296	172	328	24473	9338	0.099	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000018.spe	49.54	6.62	1	0.010267	-0.009931	0.009900	0.077115	43547	1.57	126	407	0	93	1547	645	2314	208765	0	2297	103	339	386	36257	174	191	150	32	119	442	117	10529	50	236	47	108	81	0	35	69	20	219	660	2102	25	82	40	194	359	290	292	24786	9260	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000019.spe	50.54	6.64	1	0.010267	-0.009931	0.009900	0.077115	44095	1.66	59	376	0	0	1566	579	2348	211697	0	2347	14	341	441	36939	39	101	88	0	60	583	98	10769	107	232	50	107	117	0	0	21	14	365	751	2072	118	171	0	105	382	246	207	25057	9795	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000020.spe	51.54	6.65	1	0.010267	-0.009931	0.009900	0.077115	44924	1.56	104	383	0	71	1685	572	2387	212909	0	2537	0	358	466	40843	76	179	138	0	122	489	116	10865	142	233	102	84	15	0	20	47	0	389	733	2171	100	188	129	231	424	257	323	25006	9836	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000021.spe	52.54	6.66	1	0.010267	-0.009931	0.009900	0.077115	43865	1.63	78	372	0	12	1650	635	2299	210458	0	2221	30	333	438	37171	152	122	216	51	88	495	145	10747	50	294	65	76	46	0	14	31	0	277	695	2174	125	170	167	180	430	250	132	24818	9623	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000022.spe	53.54	6.67	1	0.010267	-0.009931	0.009900	0.077115	44683	1.65	81	342	0	66	1720	572	2430	213332	0	2404	52	365	437	39194	111	127	178	31	101	469	227	10848	68	193	82	159	59	0	21	43	30	327	659	2078	16	145	111	20	287	192	216	25332	9624	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000023.spe	54.54	6.67	1	0.010267	-0.009931	0.009900	0.077115	43292	1.67	109	296	0	43	1543	653	2088	207731	0	2358	15	286	452	37255	163	135	153	0	112	546	91	10506	142	399	48	103	67	0	0	23	28	162	719	2050	12	165	106	169	356	228	159	24329	9427	0.099	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000024.spe	55.54	6.68	1	0.010267	-0.009931	0.009900	0.077115	44517	1.63	64	353	0	60	1595	609	2293	213555	28	2221	36	265	419	38348	28	146	142	0	116	525	172	10987	132	225	84	127	14	0	26	32	13	340	747	2196	59	237	165	0	371	194	185	24891	9776	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000025.spe	56.54	6.69	1	0.010267	-0.009931	0.009900	0.077115	44636	1.65	60	332	0	32	1678	627	2306	212353	0	2394	41	327	427	39454	141	165	202	0	95	527	170	11129	140	107	89	100	30	0	0	45	0	273	736	2178	68	67	66	0	386	172	204	25405	9691	0.100	
C:\Data\CD166_19_(2020)_processed\CD166_19_S1\CD166_19_S1_REP2\XRF data\L000026.spe	57.54	6.70	1	0.010267	-0.009931	0.009900	0.077115	45527	1.74	102	349	0	46	1746	600	2355	220888	0	2408	77	398	414	39275	67	180	168	4	116	515	46	11106	28	173	47	113	75	0	7	38	41	376	703	2151	140	196	90	223	414	250	290	25748	9763	0.100	
