C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2     18-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000000.spe	24.22	6.99	1	0.010262	-0.008542	0.009800	0.078770	33847	1.70	132	919	0	95	1000	630	6449	53433	106	6453	255	252	2387	86988	120	88	430	157	167	323	694	6161	233	2014	13	0	37	0	0	176	0	966	2594	88	228	94	0	0	269	2334	28282	9320	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000001.spe	25.22	6.99	1	0.010261	-0.008542	0.009800	0.078770	33266	1.81	101	1018	0	83	914	648	7107	49021	91	6559	363	218	2503	90395	136	133	406	257	137	306	608	5516	257	2265	6	35	6	0	48	112	0	963	2606	40	207	55	43	0	191	2430	26924	8786	0.104	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000002.spe	26.22	7.00	1	0.010265	-0.008542	0.009800	0.078770	34949	1.67	164	1030	0	57	740	669	7847	45010	31	7413	373	319	2767	96431	0	43	417	258	143	246	829	5039	246	2801	0	0	22	0	0	104	7	854	2671	64	174	171	32	0	240	2065	28602	9224	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000003.spe	27.22	6.99	1	0.010264	-0.008542	0.009849	0.078770	38523	1.72	150	1193	23	61	772	574	8916	39257	66	9792	405	394	2965	114691	101	77	472	380	189	384	900	5400	278	3276	28	0	36	0	0	217	0	1040	3034	10	221	221	0	0	297	2733	31068	9935	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000004.spe	28.22	6.98	1	0.010266	-0.008542	0.009849	0.078770	41131	2.01	165	1451	0	79	804	542	9365	41679	75	10632	501	421	3590	126975	68	35	577	303	243	324	1025	5781	283	3450	25	0	38	0	9	149	0	1277	3118	60	202	78	31	0	380	2981	31787	10386	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000005.spe	29.22	6.98	1	0.010266	-0.008542	0.009849	0.078770	42585	2.06	150	1392	0	91	796	503	10163	40721	64	12217	505	475	3598	140774	86	111	588	399	168	315	888	5902	317	3224	40	0	0	0	0	206	0	1053	3260	141	262	110	167	23	342	3101	30184	10170	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000006.spe	30.22	6.98	1	0.010262	-0.008542	0.009849	0.078770	43151	1.99	204	1360	15	37	819	534	9343	40107	111	13094	697	539	3870	149378	144	103	587	391	226	322	688	5748	355	3107	6	7	60	0	0	266	34	1151	3165	0	257	280	279	0	552	4053	29726	10015	0.107	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000007.spe	31.22	6.98	1	0.010265	-0.008542	0.009849	0.078770	45132	2.05	209	1383	22	38	806	542	9614	38353	76	15452	580	493	3694	165035	100	90	549	371	186	326	915	5792	293	3276	23	0	83	0	0	291	0	1057	3137	70	226	385	131	4	535	3790	30373	10088	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000008.spe	32.22	6.98	1	0.010265	-0.008542	0.009849	0.078770	44958	2.02	126	1454	8	45	764	560	9615	38391	65	15087	583	454	3708	160564	139	55	708	211	184	280	985	5991	295	3440	0	0	19	0	0	206	0	1252	3101	0	143	225	0	0	436	3713	30505	10101	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000009.spe	33.22	6.97	1	0.010266	-0.008542	0.009849	0.078770	42783	2.20	157	1435	0	48	755	512	9971	38152	89	12485	615	418	3292	138833	86	26	628	339	291	403	825	6060	309	3452	53	0	53	0	0	286	0	1178	3318	84	270	174	372	87	408	2920	31738	10318	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000010.spe	34.22	6.96	1	0.010261	-0.008542	0.009849	0.078770	41226	2.03	164	1436	0	28	805	548	10259	38320	67	10248	354	405	3321	122413	137	144	593	336	220	327	1022	5804	180	3604	13	0	34	0	0	251	23	1229	3337	0	154	161	99	0	322	3444	32750	10706	0.114	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000011.spe	35.22	6.96	1	0.010261	-0.008542	0.009849	0.078770	40807	1.97	189	1408	0	59	784	530	10266	39477	8	9328	450	413	3106	116627	10	95	664	361	223	249	1114	5874	271	3700	17	0	5	0	136	126	28	1212	3324	180	302	183	0	0	274	3159	33810	10890	0.115	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000012.spe	36.22	6.96	1	0.010264	-0.008542	0.009849	0.078770	40787	1.79	190	1416	23	61	881	533	10416	41757	81	9836	436	449	3025	115816	72	104	591	291	272	401	1152	5755	165	3601	59	0	74	0	0	206	0	1145	3378	115	154	108	0	0	380	2954	33086	10799	0.114	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000013.spe	37.22	6.96	1	0.010264	-0.008542	0.009772	0.078770	41115	1.79	204	1424	0	40	859	539	10193	44024	69	9662	381	372	3005	115228	84	16	575	300	288	306	1081	5923	199	3639	8	0	0	0	0	224	0	1219	3349	31	147	91	0	0	319	2914	34064	10683	0.116	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000014.spe	38.22	6.96	1	0.010265	-0.008542	0.009772	0.078770	40673	1.74	174	1426	0	70	879	568	10328	50065	151	8588	359	389	2947	107762	81	68	590	387	212	457	1084	5829	305	3666	10	0	40	0	0	235	0	1155	3399	95	257	137	0	0	362	2600	34549	11054	0.116	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000015.spe	39.22	6.95	1	0.010266	-0.008542	0.009772	0.078770	40420	1.85	184	1327	0	36	859	542	10112	55959	215	7932	320	357	2923	102092	0	28	566	327	350	353	1103	5563	205	3615	30	13	32	0	0	161	0	1092	3340	0	208	36	65	0	289	2290	34053	10501	0.117	
