C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000000.spe	24.22	6.99	1	0.010267	-0.009931	0.009900	0.077115	37963	1.34	119	881	0	44	958	635	6409	52078	0	6256	93	388	2451	84717	42	143	400	58	59	380	690	6259	222	1835	0	0	0	0	150	95	72	281	836	1938	118	226	165	55	595	338	555	27244	9183	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000001.spe	25.22	6.99	1	0.010267	-0.009931	0.009900	0.077115	37137	1.45	91	976	0	30	868	652	7077	47718	0	6448	215	360	2602	88104	152	180	382	143	0	367	594	5621	250	2080	0	25	0	0	193	82	92	117	813	2036	82	210	145	208	612	281	530	25832	8653	0.104	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000002.spe	26.22	7.00	1	0.010267	-0.009931	0.009900	0.077115	39190	1.38	147	985	0	10	703	677	7848	43840	0	7265	171	479	2844	93776	39	96	401	187	7	301	849	5119	225	2697	0	0	5	0	175	108	113	78	690	2060	90	181	260	132	629	311	438	27471	9102	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000003.spe	27.22	6.99	1	0.010267	-0.009931	0.009900	0.077115	43298	1.53	135	1147	0	10	730	577	8902	38142	0	9530	146	587	3032	111423	138	144	459	296	27	450	908	5493	262	3149	0	0	5	0	246	114	106	93	830	2388	56	232	320	129	677	376	718	29818	9763	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000004.spe	28.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	46299	1.56	147	1392	0	23	762	549	9368	40562	0	10423	197	628	3677	123505	120	122	556	194	75	390	1046	5864	255	3318	0	0	16	0	286	122	146	92	1032	2420	91	220	180	144	674	467	923	30532	10237	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000005.spe	29.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	47811	1.65	135	1339	0	37	753	511	10162	39584	0	11918	150	709	3676	136901	109	184	568	317	10	383	910	5985	291	3080	9	0	0	0	283	150	134	151	859	2499	161	274	202	275	886	435	884	29036	10034	0.109	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000006.spe	30.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	48337	1.70	190	1314	0	0	782	542	9317	39010	0	12769	355	761	3967	145273	138	180	576	300	83	394	673	5855	338	2950	0	7	11	0	326	170	172	188	941	2428	12	276	378	448	878	645	1142	28391	9853	0.107	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000007.spe	31.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	50599	1.71	192	1332	0	0	769	550	9623	37327	0	15076	127	747	3762	160350	91	165	533	296	46	388	922	5874	265	3109	0	0	36	0	353	121	150	195	857	2388	98	235	477	258	994	618	1026	29211	9939	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000008.spe	32.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	50471	1.70	111	1400	0	0	727	569	9621	37347	0	14802	140	694	3791	155948	223	144	695	114	22	349	1005	6078	266	3309	0	0	0	0	312	120	187	44	1016	2429	50	162	330	99	883	522	1105	29213	9941	0.109	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP2\XRF data\L000009.spe	33.22	6.97	1	0.010267	-0.009931	0.009900	0.077115	48170	1.73	141	1386	0	0	718	517	9980	37102	0	12126	263	658	3352	134961	95	107	605	244	134	467	844	6143	287	3318	30	0	33	0	301	160	153	174	963	2511	105	259	276	480	932	492	737	30525	10172	0.112	
