C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000000.spe	29.75	8.02	1	0.010267	-0.009931	0.009900	0.077115	54962	1.73	132	1041	0	21	1065	398	7424	60894	0	8098	329	932	6206	166137	316	493	591	103	166	469	1085	5337	204	867	0	0	41	0	386	120	182	160	996	2256	677	193	313	209	1015	670	1213	33062	10986	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000001.spe	30.75	8.06	1	0.010267	-0.009931	0.009900	0.077115	56626	1.81	155	1438	0	0	1571	655	8447	54388	0	9814	350	904	4408	181269	391	576	469	145	36	430	963	4759	199	945	0	0	34	0	304	212	217	178	1130	2588	1642	231	224	122	1160	799	1127	31885	10342	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000002.spe	31.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	51294	1.73	121	1096	0	82	10743	677	6736	34808	0	8403	318	793	5739	152565	313	549	424	144	35	370	875	4661	224	739	0	0	42	0	378	165	209	130	1006	2320	2151	255	48	356	1051	507	923	32600	10462	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000003.spe	32.75	8.13	1	0.010267	-0.009931	0.009900	0.077115	57759	1.87	179	1374	0	0	1397	803	8012	36709	0	10192	374	1073	11384	190744	508	630	506	225	27	443	1198	4399	238	1116	0	0	35	0	422	160	178	159	1032	2417	428	163	383	247	1551	674	903	33306	10810	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000004.spe	33.75	8.12	1	0.010267	-0.009931	0.009900	0.077115	54138	1.79	144	1190	0	21	1018	699	7586	31910	18	9328	332	932	4728	180568	395	639	485	172	106	488	1101	4137	161	876	8	0	22	0	367	179	188	155	924	2193	158	216	279	139	1351	683	1100	33042	10294	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000005.spe	34.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	56365	1.63	143	1174	0	17	1138	710	7915	34025	0	9553	405	1039	8869	186608	437	633	484	173	73	465	1069	4283	156	915	9	0	32	25	481	211	242	214	1019	2420	179	222	405	202	1424	743	1190	33999	10630	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000006.spe	35.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	54703	1.67	131	1141	0	12	1123	696	7594	46592	78	8705	361	882	6100	171828	411	705	478	182	0	527	1028	4453	255	828	28	0	26	0	381	182	224	221	1085	2505	140	240	576	290	1230	639	1185	33686	10317	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000007.spe	36.75	8.10	1	0.010267	-0.009931	0.009900	0.077115	50898	1.63	149	946	0	18	1056	821	7033	38341	4	8217	385	825	3944	162184	377	604	422	207	50	489	892	3871	239	896	0	0	35	0	319	105	209	123	1001	2267	126	246	457	293	1226	695	810	32228	10023	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000008.spe	37.75	8.09	1	0.010267	-0.009931	0.009900	0.077115	50739	1.64	94	899	0	16	1023	734	6900	31410	0	8519	409	862	4365	165885	444	525	459	57	5	476	1007	3799	182	958	9	0	0	0	343	199	195	144	1049	2295	157	236	241	243	1320	731	1126	31642	9968	0.109	
C:\Data\CD166_19_(2020)_processed\CD166_19_S3\CD166_19_S3\XRF data\L000009.spe	38.75	8.08	1	0.010267	-0.009931	0.009900	0.077115	51766	1.71	114	1072	0	0	996	695	6919	34813	0	8764	344	852	5510	169620	395	589	380	267	106	513	989	3925	240	740	0	0	0	0	352	140	200	162	983	2373	184	325	290	271	1360	671	904	32011	9975	0.110	
