C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3     23-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000000.spe	29.75	8.02	1	0.010268	-0.008542	0.009800	0.078770	48810	2.74	153	1094	0	76	1108	385	7344	62310	349	8362	559	710	6134	170803	282	371	620	177	315	404	1031	5253	253	966	6	0	65	0	0	218	0	1244	2962	757	207	275	165	92	607	3487	34323	11043	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000001.spe	30.75	8.06	1	0.010261	-0.008542	0.009800	0.078770	50303	2.24	175	1491	0	47	1616	643	8469	55742	155	9971	585	685	4265	186327	384	515	519	266	193	347	982	4638	255	1062	13	0	95	0	90	154	92	1397	3421	1939	211	176	0	0	691	4923	33417	10484	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000002.spe	31.75	8.10	1	0.010261	-0.008542	0.009800	0.078770	45564	2.16	142	1149	11	135	10831	592	6780	35679	101	8561	512	589	5594	156808	300	496	474	234	183	293	891	4535	287	913	122	0	94	0	165	182	48	1291	3069	2642	235	29	138	0	420	4139	33916	10593	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000003.spe	32.75	8.13	1	0.010261	-0.008542	0.009800	0.078770	51268	2.23	196	1428	6	59	1449	789	8040	37596	0	10381	610	845	11176	196503	477	552	537	332	179	354	1231	4293	270	1247	0	0	110	0	189	214	18	1295	3141	456	119	280	0	226	568	4925	34695	10935	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000004.spe	33.75	8.12	1	0.010261	-0.008542	0.009816	0.078770	48100	2.23	159	1240	0	69	1059	687	7632	32644	104	9456	559	734	4579	185642	375	578	507	277	235	418	1127	4051	198	1027	39	0	78	0	201	139	75	1148	2907	150	230	169	0	114	575	4909	34480	10411	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000005.spe	34.75	8.10	1	0.010267	-0.008542	0.009816	0.078770	50035	2.05	159	1223	0	63	1174	698	7870	34885	20	9820	662	786	8759	192257	419	517	510	259	222	400	1035	4208	195	1062	28	0	32	0	111	217	42	1265	3187	195	233	296	113	305	658	4122	35186	10728	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000006.spe	35.75	8.10	1	0.010264	-0.008542	0.009816	0.078770	48550	2.02	148	1192	0	60	1160	685	7581	47734	282	8981	571	654	5988	176934	412	606	495	280	130	455	1028	4372	288	990	54	0	71	0	33	231	27	1316	3310	121	232	473	140	130	545	4249	34933	10453	0.112	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000007.spe	36.75	8.10	1	0.010265	-0.008542	0.009816	0.078770	45289	2.09	165	995	18	67	1097	804	7019	39278	162	8406	591	617	3837	166857	325	507	441	312	193	415	880	3790	267	1036	0	0	68	0	44	152	0	1228	2943	85	251	356	163	194	601	3557	33403	10149	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000008.spe	37.75	8.09	1	0.010263	-0.008542	0.009816	0.078770	45187	1.97	105	946	0	66	1065	726	6905	32203	20	8709	619	652	4245	170603	410	442	487	163	147	398	1018	3717	215	1094	35	0	0	0	93	155	73	1300	3002	131	232	134	65	223	623	4294	32982	10121	0.109	
C:\Data\CD166_19_(2020)\CD166_19_S3\CD166_19_S3\XRF data\L000009.spe	38.75	8.08	1	0.010263	-0.008542	0.009816	0.078770	46083	2.07	130	1118	0	37	1037	686	6927	35682	116	8961	540	647	5386	174561	376	510	407	366	252	435	1001	3836	268	888	0	0	0	0	97	191	10	1227	3089	178	319	190	91	231	574	4194	33284	10107	0.110	
