x Distance [mm]	Height [cm]
 -1.840 	 3.600 
 -1.650 	 3.615 
 -1.465 	 3.646 
 -1.275 	 3.683 
 -1.090 	 3.727 
 -0.900 	 3.765 
 -0.710 	 0.800 
 -0.525 	 1.332 
 -0.335 	 1.672 
 -0.150 	 1.789 
 0.040 	 1.816 
 0.230 	 1.816 
 0.415 	 1.810 
 0.605 	 1.796 
 0.790 	 1.783 
 0.980 	 1.733 
 1.170 	 1.732 
 1.355 	 1.751 
 1.545 	 1.770 
 1.730 	 1.795 
 1.920 	 1.819 
 2.110 	 1.855 
 2.295 	 1.853 
 2.485 	 1.836 
 2.670 	 1.825 
 2.860 	 1.822 
 3.050 	 1.845 
 3.235 	 1.859 
 3.425 	 1.908 
 3.610 	 1.958 
 3.800 	 1.965 
 3.990 	 1.708 
 4.175 	 1.700 
 4.365 	 1.707 
 4.550 	 1.728 
 4.740 	 1.753 
 4.930 	 1.749 
 5.115 	 1.716 
 5.305 	 1.645 
 5.490 	 1.938 
 5.680 	 2.268 
 5.870 	 2.377 
 6.055 	 2.025 
 6.245 	 1.758 
 6.430 	 1.383 
 6.620 	 1.367 
 6.810 	 1.308 
 6.995 	 1.637 
 7.185 	 1.922 
 7.370 	 2.160 
 7.560 	 2.399 
 7.750 	 2.681 
 7.935 	 2.889 
 8.125 	 3.027 
 8.310 	 3.478 
 8.500 	 5.794 
 8.690 	 5.837 
 8.875 	 5.885 
 9.065 	 5.917 
 9.250 	 5.956 
 9.440 	 5.996 
 9.630 	 6.019 
 9.815 	 6.033 
 10.005 	 4.413 
 10.190 	 3.801 
 10.380 	 3.948 
 10.570 	 4.259 
 10.755 	 5.931 
 10.945 	 9.619 
 11.130 	 9.619 
 11.320 	 9.620 
 11.510 	 9.624 
 11.695 	 9.624 
 11.885 	 9.623 
 12.070 	 9.619 
 12.260 	 9.619 
 12.450 	 9.619 
 12.635 	 8.741 
 12.825 	 6.562 
 13.010 	 7.033 
 13.200 	 9.424 
 13.390 	 9.623 
 13.575 	 9.619 
 13.765 	 9.620 
 13.950 	 9.623 
 14.140 	 9.619 
 14.330 	 9.619 
 14.515 	 9.619 
 14.705 	 9.619 
 14.890 	 9.619 
 15.080 	 9.619 
 15.270 	 9.620 
 15.455 	 9.623 
 15.645 	 9.619 
 15.830 	 9.620 
 16.020 	 9.624 
 16.210 	 9.624 
 16.395 	 9.619 
 16.585 	 9.620 
 16.770 	 9.624 
 16.960 	 9.619 
 17.150 	 9.619 
 17.335 	 9.619 
 17.525 	 9.623 
 17.710 	 9.619 
 17.900 	 9.620 
 18.090 	 9.624 
 18.275 	 9.619 
 18.465 	 9.619 
 18.650 	 9.620 
 18.840 	 9.624 
 19.030 	 9.619 
 19.215 	 9.619 
 19.405 	 9.620 
 19.590 	 9.624 
 19.780 	 9.624 
 19.970 	 9.624 
 20.155 	 9.376 
 20.345 	 7.651 
 20.530 	 7.904 
 20.720 	 9.619 
 20.910 	 9.619 
 21.095 	 9.620 
 21.285 	 9.624 
 21.470 	 6.417 
 21.660 	 6.296 
 21.850 	 6.561 
 22.035 	 6.758 
 22.225 	 6.905 
 22.410 	 7.161 
 22.600 	 7.381 
 22.790 	 7.517 
 22.975 	 7.723 
 23.165 	 7.827 
 23.350 	 7.862 
 23.540 	 7.898 
 23.730 	 7.932 
 23.915 	 7.963 
 24.105 	 7.984 
 24.290 	 8.008 
 24.480 	 8.043 
 24.670 	 8.084 
 24.855 	 8.110 
 25.045 	 8.147 
 25.230 	 8.179 
 25.420 	 8.218 
 25.610 	 8.247 
 25.795 	 8.264 
 25.985 	 8.241 
 26.170 	 8.092 
 26.360 	 7.978 
 26.550 	 7.934 
 26.735 	 7.930 
 26.925 	 7.950 
 27.110 	 7.983 
 27.300 	 8.050 
 27.490 	 8.110 
 27.675 	 8.163 
 27.865 	 8.223 
 28.050 	 8.255 
 28.240 	 8.271 
 28.430 	 8.229 
 28.615 	 8.204 
 28.805 	 8.156 
 28.990 	 8.108 
 29.180 	 8.040 
 29.370 	 7.988 
 29.555 	 7.992 
 29.745 	 8.009 
 29.930 	 8.020 
 30.120 	 8.035 
 30.310 	 8.048 
 30.495 	 8.054 
 30.685 	 8.071 
 30.870 	 8.082 
 31.060 	 8.086 
 31.250 	 8.097 
 31.435 	 8.101 
 31.625 	 8.106 
 31.810 	 8.111 
 32.000 	 8.117 
 32.190 	 8.126 
 32.375 	 8.131 
 32.565 	 8.136 
 32.750 	 8.140 
 32.940 	 8.137 
 33.130 	 8.129 
 33.315 	 8.122 
 33.505 	 8.115 
 33.690 	 8.112 
 33.880 	 8.105 
 34.070 	 8.101 
 34.255 	 8.101 
 34.445 	 8.102 
 34.630 	 8.104 
 34.820 	 8.103 
 35.010 	 8.109 
 35.195 	 8.105 
 35.385 	 8.099 
 35.570 	 8.094 
 35.760 	 8.086 
 35.950 	 8.087 
 36.135 	 8.093 
 36.325 	 8.101 
 36.510 	 8.105 
 36.700 	 8.107 
 36.890 	 8.109 
 37.075 	 8.103 
 37.265 	 8.096 
 37.450 	 8.090 
 37.640 	 8.084 
 37.830 	 8.076 
 38.015 	 8.076 
 38.205 	 8.076 
 38.390 	 8.076 
 38.580 	 8.076 
 38.770 	 8.075 
 38.955 	 8.071 
 39.145 	 8.069 
