C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data     06-Oct-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Nd	Sm	Yb	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000000.spe	24.22	6.99	1	0.010267	-0.009931	0.009900	0.077115	37922	1.36	125	897	0	47	933	686	6411	52149	0	6133	158	446	2362	84898	206	204	384	74	87	416	617	6154	323	1975	20	0	56	0	194	108	123	54	735	1996	59	196	219	300	630	271	556	27812	9050	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000001.spe	25.22	6.99	1	0.010267	-0.009931	0.009900	0.077115	37063	1.54	93	1000	0	0	816	605	7277	47586	0	6822	109	423	2585	87790	112	127	434	112	108	383	698	5562	175	2296	19	0	0	0	121	84	93	70	794	1953	116	140	208	57	453	295	652	25289	8273	0.105	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000002.spe	26.22	7.00	1	0.010267	-0.009931	0.009900	0.077115	39149	1.43	122	1008	0	0	752	628	7694	43742	0	7335	79	446	2894	93515	24	153	545	138	166	282	807	4985	224	2702	0	6	0	0	201	82	112	151	831	2079	132	261	282	36	591	323	584	27423	8688	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000003.spe	27.22	6.99	1	0.010267	-0.009931	0.009900	0.077115	43418	1.61	186	1159	0	0	705	645	8687	38150	0	9667	162	617	2994	111443	129	177	490	249	43	388	823	5511	320	3058	0	0	10	0	277	151	107	83	930	2384	104	212	255	340	773	482	727	29425	9644	0.111	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000004.spe	28.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	46237	1.65	144	1322	0	9	724	597	9334	40834	0	10704	154	660	3627	123442	99	171	569	207	74	393	998	5688	151	3274	0	0	0	0	247	122	159	275	877	2503	68	258	234	53	859	567	823	30476	10413	0.111	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000005.spe	29.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	47924	1.67	164	1325	0	0	764	591	9947	39455	0	11784	179	646	3840	136973	46	124	551	180	90	366	880	5859	251	3151	0	0	0	0	255	147	111	153	1014	2497	49	268	381	188	868	466	865	29654	10105	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000006.spe	30.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	48491	1.65	119	1332	0	24	648	605	9512	38687	0	13013	198	678	3935	146197	171	120	514	186	142	391	866	5985	245	3065	0	0	0	0	352	145	185	92	1025	2386	59	198	353	181	1057	489	771	28774	9982	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000007.spe	31.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	50530	1.61	145	1326	0	0	748	569	9176	37226	0	14929	308	719	3672	160288	154	142	581	149	61	381	1075	6170	318	3031	0	0	0	0	282	158	142	141	946	2424	50	182	370	126	956	585	1035	29140	9915	0.108	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000008.spe	32.22	6.98	1	0.010267	-0.009931	0.009900	0.077115	50415	1.69	170	1372	0	14	727	556	9499	37279	0	14839	282	692	3904	155308	142	305	632	138	74	320	930	5970	159	3243	0	0	10	0	356	135	153	152	930	2438	79	196	301	338	931	517	1133	29437	10133	0.110	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000009.spe	33.22	6.97	1	0.010267	-0.009931	0.009900	0.077115	48161	1.60	170	1420	0	4	746	515	9596	37150	0	12352	216	689	3152	134882	54	232	588	253	174	383	955	6169	154	3328	0	7	0	0	310	149	172	219	858	2435	18	246	393	171	885	476	907	30026	10305	0.112	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000010.spe	34.22	6.96	1	0.010267	-0.009931	0.009900	0.077115	46475	1.62	169	1305	0	0	776	538	10086	37177	0	9889	187	659	3361	119678	104	131	549	200	118	422	1104	5977	170	3495	0	0	26	0	238	192	120	147	1042	2498	105	239	327	81	850	421	610	31488	10333	0.114	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000011.spe	35.22	6.96	1	0.010267	-0.009931	0.009900	0.077115	46209	1.55	126	1398	0	0	793	577	10385	38367	0	9292	126	669	3238	113835	198	168	613	311	84	431	1138	5960	415	3496	0	0	11	0	305	103	172	75	971	2636	118	272	289	39	573	399	1126	32878	10689	0.115	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000012.spe	36.22	6.96	1	0.010267	-0.009931	0.009900	0.077115	45955	1.53	196	1322	0	8	811	551	10358	40189	0	9113	147	676	3074	112050	145	204	552	201	64	371	1141	5978	207	3360	0	0	15	0	325	169	93	67	975	2554	90	214	260	125	694	482	718	32153	10506	0.115	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000013.spe	37.22	6.96	1	0.010267	-0.009931	0.009900	0.077115	46404	1.55	156	1293	0	0	812	575	10204	43029	0	9416	144	583	3128	111950	100	166	652	89	136	440	1088	6026	199	3413	0	0	21	0	226	131	115	162	959	2560	109	271	295	58	710	429	747	32115	10511	0.116	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000014.spe	38.22	6.96	1	0.010267	-0.009931	0.009900	0.077115	45956	1.50	160	1338	0	0	834	554	10149	48434	0	8468	175	570	3013	105387	80	178	506	321	90	408	1074	5747	242	3399	0	10	32	0	254	145	135	169	1012	2577	125	264	242	186	691	468	515	32971	10602	0.115	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000015.spe	39.22	6.95	1	0.010267	-0.009931	0.009900	0.077115	45737	1.54	165	1276	0	0	847	578	10216	54529	0	7694	94	591	3042	99534	71	132	502	203	71	445	1068	5743	197	3384	0	13	13	0	246	173	65	206	987	2428	105	336	303	249	762	380	479	32949	10910	0.116	
C:\Data\CD166_19_(2020)_processed\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000016.spe	40.22	6.95	1	0.010267	-0.009931	0.009900	0.077115	46144	1.57	133	1239	0	0	913	602	10094	55897	0	7967	111	606	3272	98670	101	185	530	231	147	447	1196	5650	337	3258	0	7	10	0	173	143	129	125	997	2592	119	263	355	84	678	382	574	33451	10519	0.117	
