C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1     17-Sep-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	Ga	Ge	Br	Rb	Sr	Y	Zr	Pd	Cd	I	Cs	Ba	Ce	Nd	Ta	W	Pb	Bi	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000000.spe	24.22	6.99	1	0.010268	-0.008542	0.009800	0.078770	33821	1.95	138	941	0	97	972	680	6376	53415	199	6345	331	283	2313	87167	141	115	395	146	238	368	577	6077	327	2081	45	0	69	0	0	168	0	908	2519	40	192	129	247	75	209	1797	28719	9091	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000001.spe	25.22	6.99	1	0.010269	-0.008542	0.009800	0.078770	33172	2.15	107	1045	0	27	857	601	7225	48857	248	7087	306	248	2538	90139	59	40	456	179	250	329	655	5489	185	2383	43	0	0	0	0	192	0	979	2526	90	134	128	11	0	235	1880	26102	8335	0.105	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000002.spe	26.22	7.00	1	0.010262	-0.008542	0.009800	0.078770	34918	1.76	138	1050	0	37	790	621	7720	44918	23	7430	265	295	2802	96099	31	100	573	236	292	221	808	4876	241	2861	0	12	47	0	63	99	0	1017	2729	109	277	192	0	0	245	2536	28447	8821	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000003.spe	27.22	6.99	1	0.010265	-0.008542	0.009800	0.078770	38610	1.89	200	1208	0	47	746	641	8690	39224	102	9979	425	413	2940	114612	82	103	500	343	203	329	806	5421	338	3173	0	0	41	0	0	265	0	1147	3062	90	217	155	226	18	407	2704	30637	9777	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000004.spe	28.22	6.98	1	0.010264	-0.008542	0.009834	0.078770	41094	1.92	158	1371	12	57	761	588	9346	41937	81	11014	453	439	3549	127014	145	90	604	297	218	329	992	5602	177	3418	0	0	10	0	0	241	0	1068	3335	30	268	135	0	16	480	3049	31755	10574	0.111	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000005.spe	29.22	6.98	1	0.010265	-0.008542	0.009811	0.078770	42635	1.97	180	1375	0	32	801	582	9947	40526	55	12079	531	429	3769	140965	31	38	566	273	243	305	865	5768	269	3276	0	0	24	0	0	225	0	1243	3275	19	279	278	69	6	388	3216	30813	10247	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000006.spe	30.22	6.98	1	0.010265	-0.008542	0.009811	0.078770	43273	1.95	134	1385	0	71	684	594	9501	39748	44	13289	591	438	3854	150479	112	20	522	277	302	327	847	5900	269	3188	0	0	10	0	14	219	0	1265	3044	21	185	251	70	130	406	3222	30027	10114	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000007.spe	31.22	6.98	1	0.010266	-0.008542	0.009811	0.078770	45068	2.06	161	1385	0	29	787	558	9156	38225	53	15321	760	457	3598	164914	118	46	600	235	217	313	1052	6087	352	3166	7	0	17	0	0	283	0	1171	3119	0	157	267	22	0	497	3598	30419	10038	0.108	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000008.spe	32.22	6.98	1	0.010266	-0.008542	0.009811	0.078770	44881	2.16	188	1428	10	59	760	546	9473	38277	163	15189	739	433	3832	159802	115	210	657	221	228	251	900	5883	184	3367	0	0	31	0	0	267	0	1163	3187	38	176	200	239	6	433	3574	30643	10250	0.110	
C:\Data\CD166_19_(2020)\CD166_19_S2\CD166_19_S2_REP1\XRF data\L000009.spe	33.22	6.97	1	0.010261	-0.008542	0.009811	0.078770	42778	2.02	186	1469	5	53	785	512	9638	38148	15	12606	532	454	3055	138503	79	181	605	360	316	310	965	6041	179	3509	13	8	45	0	29	242	0	1016	3214	0	238	280	0	0	371	3753	31318	10501	0.112	
